TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
양양 카페로그 독서카페 #맛집 #food #양양 #koreanfood #동해바다,https://www.youtube.com/shorts/62Wq3ZNzNgk,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%8B%E1%85%A3%E1%86%BC+%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%E1%84%83%E1%85%A9%E1%86%A8%E1%84%89%E1%85%A5%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%23%E1%84%86%E1%85%A1%E1%86%BA%E1%84%8C%E1%85%B5%E1%86%B8+%23food+%23%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%8B%E1%85%A3%E1%86%BC+%23koreanfood+%23%E1%84%83%E1%85%A9%E1%86%BC%E1%84%92%E1%85%A2%E1%84%87%E1%85%A1%E1%84%83%E1%85%A1.mp4,#맛집,16K,680,@평범한일상이야기-f3p
사주세요#asmr #coffee #카페브이로그  #우지커피 #컴포즈커피 #vlog#shorts #shortvideo,https://www.youtube.com/shorts/AoyAlE-pcio,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%89%E1%85%A1%E1%84%8C%E1%85%AE%E1%84%89%E1%85%A6%E1%84%8B%E1%85%AD%23asmr+%23coffee+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3++%23%E1%84%8B%E1%85%AE%E1%84%8C%E1%85%B5%E1%84%8F%E1%85%A5%E1%84%91%E1%85%B5+%23%E1%84%8F%E1%85%A5%E1%86%B7%E1%84%91%E1%85%A9%E1%84%8C%E1%85%B3%E1%84%8F%E1%85%A5%E1%84%91%E1%85%B5+%23vlog%23shorts+%23shortvideo.mp4,#asmr,4K,228,@유댕브이로그
같이 일하자 🤙🏻🤙🏻/#cafevlog #카페 #카페브이로그 #video #coffee #shortvideo #커피 #shorts #먼데이커피 #브이로그 #vlog,https://www.youtube.com/shorts/k2c4_88x8ao,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%80%E1%85%A1%E1%87%80%E1%84%8B%E1%85%B5+%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%92%E1%85%A1%E1%84%8C%E1%85%A1+%F0%9F%A4%99%F0%9F%8F%BB%F0%9F%A4%99%F0%9F%8F%BB%2F%23cafevlog+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23video+%23coffee+%23shortvideo+%23%E1%84%8F%E1%85%A5%E1%84%91%E1%85%B5+%23shorts+%23%E1%84%86%E1%85%A5%E1%86%AB%E1%84%83%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A5%E1%84%91%E1%85%B5+%23%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23vlog.mp4,#cafevlog,6K,695,@s2_cong_day
만화카페에서 1박2일 먹고자는 브이로그,https://www.youtube.com/shorts/n3P-QCKTMS4,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%86%E1%85%A1%E1%86%AB%E1%84%92%E1%85%AA%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%8B%E1%85%A6%E1%84%89%E1%85%A5+1%E1%84%87%E1%85%A1%E1%86%A82%E1%84%8B%E1%85%B5%E1%86%AF+%E1%84%86%E1%85%A5%E1%86%A8%E1%84%80%E1%85%A9%E1%84%8C%E1%85%A1%E1%84%82%E1%85%B3%E1%86%AB+%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3.mp4,,6K,551,@gogossii
서비스 드렸다가 단골 손님과 멀어졌어요.. |카페브이로그 | 이래서 원칙이 중요한가봐요🥹#cafevlog #cafe #카페브이로그 #더리터 #카페알바,https://www.youtube.com/shorts/iR6stm0ru0U,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%89%E1%85%A5%E1%84%87%E1%85%B5%E1%84%89%E1%85%B3+%E1%84%83%E1%85%B3%E1%84%85%E1%85%A7%E1%86%BB%E1%84%83%E1%85%A1%E1%84%80%E1%85%A1+%E1%84%83%E1%85%A1%E1%86%AB%E1%84%80%E1%85%A9%E1%86%AF+%E1%84%89%E1%85%A9%E1%86%AB%E1%84%82%E1%85%B5%E1%86%B7%E1%84%80%E1%85%AA+%E1%84%86%E1%85%A5%E1%86%AF%E1%84%8B%E1%85%A5%E1%84%8C%E1%85%A7%E1%86%BB%E1%84%8B%E1%85%A5%E1%84%8B%E1%85%AD..+%7C%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%7C+%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A2%E1%84%89%E1%85%A5+%E1%84%8B%E1%85%AF%E1%86%AB%E1%84%8E%E1%85%B5%E1%86%A8%E1%84%8B%E1%85%B5+%E1%84%8C%E1%85%AE%E1%86%BC%E1%84%8B%E1%85%AD%E1%84%92%E1%85%A1%E1%86%AB%E1%84%80%E1%85%A1%E1%84%87%E1%85%AA%E1%84%8B%E1%85%AD%F0%9F%A5%B9%23cafevlog+%23cafe+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23%E1%84%83%E1%85%A5%E1%84%85%E1%85%B5%E1%84%90%E1%85%A5+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%87%E1%85%A1.mp4,,3K,849,@하록카페
45%정도 찢긴 돈 은행가면 바꿔주나요 ?🧐 #카페브이로그 #cafevlog #asmr #카페 #음료제조,https://www.youtube.com/shorts/eMhBysDMDTY,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_45%25%E1%84%8C%E1%85%A5%E1%86%BC%E1%84%83%E1%85%A9+%E1%84%8D%E1%85%B5%E1%86%BD%E1%84%80%E1%85%B5%E1%86%AB+%E1%84%83%E1%85%A9%E1%86%AB+%E1%84%8B%E1%85%B3%E1%86%AB%E1%84%92%E1%85%A2%E1%86%BC%E1%84%80%E1%85%A1%E1%84%86%E1%85%A7%E1%86%AB+%E1%84%87%E1%85%A1%E1%84%81%E1%85%AF%E1%84%8C%E1%85%AE%E1%84%82%E1%85%A1%E1%84%8B%E1%85%AD+%3F%F0%9F%A7%90+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23cafevlog+%23asmr+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%23%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD%E1%84%8C%E1%85%A6%E1%84%8C%E1%85%A9.mp4,#카페브이로그,2K,653,@KINbrain
양양 북카페ㅡ카페로그 #솔향기언덕 #힐링카페,https://www.youtube.com/shorts/Zzi4-cdHbYY,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%8B%E1%85%A3%E1%86%BC%E1%84%8B%E1%85%A3%E1%86%BC+%E1%84%87%E1%85%AE%E1%86%A8%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E3%85%A1%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23%E1%84%89%E1%85%A9%E1%86%AF%E1%84%92%E1%85%A3%E1%86%BC%E1%84%80%E1%85%B5%E1%84%8B%E1%85%A5%E1%86%AB%E1%84%83%E1%85%A5%E1%86%A8+%23%E1%84%92%E1%85%B5%E1%86%AF%E1%84%85%E1%85%B5%E1%86%BC%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6.mp4,#솔향기언덕,13K,652,@해피라기
“제티 담아주신거 아니죠 ?“ #asmr #카페브이로그 #cafevlog #음료제조 #카페 #cafe #vlog,https://www.youtube.com/shorts/TUJSJmwg8hk,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E2%80%9C%E1%84%8C%E1%85%A6%E1%84%90%E1%85%B5+%E1%84%83%E1%85%A1%E1%86%B7%E1%84%8B%E1%85%A1%E1%84%8C%E1%85%AE%E1%84%89%E1%85%B5%E1%86%AB%E1%84%80%E1%85%A5+%E1%84%8B%E1%85%A1%E1%84%82%E1%85%B5%E1%84%8C%E1%85%AD+%3F%E2%80%9C+%23asmr+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23cafevlog+%23%E1%84%8B%E1%85%B3%E1%86%B7%E1%84%85%E1%85%AD%E1%84%8C%E1%85%A6%E1%84%8C%E1%85%A9+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%23cafe+%23vlog.mp4,#asmr,7K,252,@KINbrain
물 없이 아메리카노에 6샷?☕️ #카페브이로그 #카페알바 #cafe #cafevlog #아메리카노 #더리터,https://www.youtube.com/shorts/qOEBhMb-MsU,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%86%E1%85%AE%E1%86%AF+%E1%84%8B%E1%85%A5%E1%86%B9%E1%84%8B%E1%85%B5+%E1%84%8B%E1%85%A1%E1%84%86%E1%85%A6%E1%84%85%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%82%E1%85%A9%E1%84%8B%E1%85%A6+6%E1%84%89%E1%85%A3%E1%86%BA%3F%E2%98%95%EF%B8%8F+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%87%E1%85%A1+%23cafe+%23cafevlog+%23%E1%84%8B%E1%85%A1%E1%84%86%E1%85%A6%E1%84%85%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%82%E1%85%A9+%23%E1%84%83%E1%85%A5%E1%84%85%E1%85%B5%E1%84%90%E1%85%A5.mp4,#카페브이로그,2K,542,@mindoLiter
혼자 일할 때 75잔 주문 들어 온다면?#카페브이로그 #베이커리카페,https://www.youtube.com/shorts/mqkYrDpadH0,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%92%E1%85%A9%E1%86%AB%E1%84%8C%E1%85%A1+%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%92%E1%85%A1%E1%86%AF+%E1%84%84%E1%85%A2+75%E1%84%8C%E1%85%A1%E1%86%AB+%E1%84%8C%E1%85%AE%E1%84%86%E1%85%AE%E1%86%AB+%E1%84%83%E1%85%B3%E1%86%AF%E1%84%8B%E1%85%A5+%E1%84%8B%E1%85%A9%E1%86%AB%E1%84%83%E1%85%A1%E1%84%86%E1%85%A7%E1%86%AB%3F%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23%E1%84%87%E1%85%A6%E1%84%8B%E1%85%B5%E1%84%8F%E1%85%A5%E1%84%85%E1%85%B5%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6.mp4,,10K,480,@dw_diana
근무 중 브이로그 찍는 알바 절망편 #shorts,https://www.youtube.com/shorts/zkbTR1GJ76o,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%80%E1%85%B3%E1%86%AB%E1%84%86%E1%85%AE+%E1%84%8C%E1%85%AE%E1%86%BC+%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%E1%84%8D%E1%85%B5%E1%86%A8%E1%84%82%E1%85%B3%E1%86%AB+%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%87%E1%85%A1+%E1%84%8C%E1%85%A5%E1%86%AF%E1%84%86%E1%85%A1%E1%86%BC%E1%84%91%E1%85%A7%E1%86%AB+%23shorts.mp4,#shorts,12K,249,@beautyfool
다음 알바는 꼭 오픈 타임 하고 싶어요 🙏🏻 #카페 #카페브이로그 #cafevlog #cafe #베러먼데이 #커피 #알바브이로그 #브이로그,https://www.youtube.com/shorts/6uURHosRbL8,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B3%E1%86%B7+%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%87%E1%85%A1%E1%84%82%E1%85%B3%E1%86%AB+%E1%84%81%E1%85%A9%E1%86%A8+%E1%84%8B%E1%85%A9%E1%84%91%E1%85%B3%E1%86%AB+%E1%84%90%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%B7+%E1%84%92%E1%85%A1%E1%84%80%E1%85%A9+%E1%84%89%E1%85%B5%E1%87%81%E1%84%8B%E1%85%A5%E1%84%8B%E1%85%AD+%F0%9F%99%8F%F0%9F%8F%BB+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23cafevlog+%23cafe+%23%E1%84%87%E1%85%A6%E1%84%85%E1%85%A5%E1%84%86%E1%85%A5%E1%86%AB%E1%84%83%E1%85%A6%E1%84%8B%E1%85%B5+%23%E1%84%8F%E1%85%A5%E1%84%91%E1%85%B5+%23%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%87%E1%85%A1%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3.mp4,#카페,5K,721,@nanyamm_
그 손님은 이 이후로 안보였다는.. #카페브이로그 #카페 #카페알바 #cafe #cafevlog #컴포즈커피,https://www.youtube.com/shorts/mHEk3_aHFjw,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%E1%84%80%E1%85%B3+%E1%84%89%E1%85%A9%E1%86%AB%E1%84%82%E1%85%B5%E1%86%B7%E1%84%8B%E1%85%B3%E1%86%AB+%E1%84%8B%E1%85%B5+%E1%84%8B%E1%85%B5%E1%84%92%E1%85%AE%E1%84%85%E1%85%A9+%E1%84%8B%E1%85%A1%E1%86%AB%E1%84%87%E1%85%A9%E1%84%8B%E1%85%A7%E1%86%BB%E1%84%83%E1%85%A1%E1%84%82%E1%85%B3%E1%86%AB..+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%87%E1%85%A1+%23cafe+%23cafevlog+%23%E1%84%8F%E1%85%A5%E1%86%B7%E1%84%91%E1%85%A9%E1%84%8C%E1%85%B3%E1%84%8F%E1%85%A5%E1%84%91%E1%85%B5.mp4,#카페브이로그,12K,65,@하네짱
👩🏻‍🦱 아니 사장님!!!!!!! 지금 넣는게 설탕이에요?!?!!?? #cafe #카페 #카페브이로그 #알바브이로그 #더리터,https://www.youtube.com/shorts/1_cGTATDJro,https://cafelog-videos.s3.ap-southeast-2.amazonaws.com/00001_%F0%9F%91%A9%F0%9F%8F%BB%E2%80%8D%F0%9F%A6%B1+%E1%84%8B%E1%85%A1%E1%84%82%E1%85%B5+%E1%84%89%E1%85%A1%E1%84%8C%E1%85%A1%E1%86%BC%E1%84%82%E1%85%B5%E1%86%B7%21%21%21%21%21%21%21+%E1%84%8C%E1%85%B5%E1%84%80%E1%85%B3%E1%86%B7+%E1%84%82%E1%85%A5%E1%87%82%E1%84%82%E1%85%B3%E1%86%AB%E1%84%80%E1%85%A6+%E1%84%89%E1%85%A5%E1%86%AF%E1%84%90%E1%85%A1%E1%86%BC%E1%84%8B%E1%85%B5%E1%84%8B%E1%85%A6%E1%84%8B%E1%85%AD%3F%21%3F%21%21%3F%3F+%23cafe+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6+%23%E1%84%8F%E1%85%A1%E1%84%91%E1%85%A6%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23%E1%84%8B%E1%85%A1%E1%86%AF%E1%84%87%E1%85%A1%E1%84%87%E1%85%B3%E1%84%8B%E1%85%B5%E1%84%85%E1%85%A9%E1%84%80%E1%85%B3+%23%E1%84%83%E1%85%A5%E1%84%85%E1%85%B5%E1%84%90%E1%85%A5.mp4,#cafe,5K,228,@_solsol_
