TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
자동차 전액 할부로 사는 이유 ㄷㄷㄷ,https://www.youtube.com/shorts/-t0D9JX1Zdg,https://rr8---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1757257010&ei=0ki9aLj5BpDp29gPofu7uAU&ip=220.72.66.139&id=o-AKGsdgnf5yRAh645c1TXdRrZ72o4WY6aLjeYIeVCJm4G&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235410%2C&mh=7H&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-oguesnd6&ms=au%2Conr&mv=m&mvi=8&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3912500&bui=AY1jyLN5csvry8q-BmNw-b8yMo4m6NYnQf27lUe4ukSOQefxvlreShCokzrCky-ebIvAQUXnN37sxV8u&spc=l3OVKeaGALtZBawxwlvUXuhmMtc7txzJhnwYOKQeGRJA276ncFCRjTwZEvLe5LQM0w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=wYILG8ZaUcv2vnV4CN7kr44Q&rqh=1&gir=yes&clen=2058313&ratebypass=yes&dur=27.648&lmt=1743895323199694&mt=1757234995&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=eBMPSAXzm14WsA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgb2bxjfqhAHAqTc7WQyKIx4JDWaOI7ohzoA5lX4PBwSsCIFQ1WqC74a-gBopY1PLzLlfrQ2QS9k3bGUEhfpYv7Y9r&sig=AJfQdSswRQIhAIXMWVSMIHh5p8bOk3tmym5MYrmIRQOStmKxVXUE9dnzAiBJdl1aSDEGhuvoQIJElCw9wwW7ZR9QVXCkOucqz7AmAA%3D%3D,Big Cafe · Lunatic Souls,2K,223,@자동차갤러리2
자연흡기 차량이 진짜 자동차인 이유,https://www.youtube.com/shorts/vAnmWWAfr0I,https://rr4---sn-3u-bh2sk.googlevideo.com/videoplayback?expire=1757257011&ei=00i9aK65O4Dx29gP9tSWoQ0&ip=220.72.66.139&id=o-AEBd_wUn5SiwV3eqmTdJ71SBydEwTkoFFM_lh8aE6tKk&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235411%2C&mh=Mk&mm=31%2C26&mn=sn-3u-bh2sk%2Csn-oguesndl&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4153750&bui=AY1jyLN9Q4vNIk_ivpHlNuH3f-HNkaC88Tl3uOsT6GulXa9LOfJwYLx8RRZPmpv0eJFMBWWqRlCVxe6o&spc=l3OVKVrAKM60ESfe_Dn2CCc2CMscJtmAa-w6g071FswaFnukzVzOGkAQInxFWZPuHw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=d22OT4wHKfSkwGORkpPOoMwQ&rqh=1&gir=yes&clen=4500116&ratebypass=yes&dur=60.010&lmt=1751267588887348&mt=1757234995&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=TOnQP0HsZVVhlw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgaDOoTt5y0pHcNpH9XTwJyN1-A5JcUAXh8ta2BnF9RCYCIQDlz9Y_WETjT1UMAJ2q-kCVDEdG5FqB1FzjZWsTFA4Kuw%3D%3D&sig=AJfQdSswRgIhAI8mAlwU1afb3-YvQhNuVMk1NXG-Ha9e3AHXh-sgpFmgAiEAip2EgSafSbE-r-ddW3hLHyj624WhO32WqYGlyImxa1M%3D,Joyful Serenity · Rhymora Music,20K,533,@wKFXKZN-p9v
지디가 타는 자동차?! ㄷㄷ,https://www.youtube.com/shorts/MKZaAyYD58k,https://rr5---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1757257012&ei=1Ei9aOhl5Znb2A_HppjxBQ&ip=220.72.66.139&id=o-AOKvGT7MITIdJiRYONXSIObn9wmLaY4Vvy00coF5Dfpd&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235412%2C&mh=Oz&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguelner&ms=au%2Conr&mv=m&mvi=5&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4265000&bui=AY1jyLNQjcNOxj91eWU2z0VQR_lBkLAlt7x6se74rp18VG70FT7shD7kYoY8b7BaDzrbqpDicKe7cGkw&spc=l3OVKdGIaUzm4o3xwG45pTYDUbfzLde69or-sV1tP-15HrGN1zATrlW4PYIkCOgFFg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=klXu2HmVjw0U07V-hjeSxZQQ&rqh=1&gir=yes&clen=1591619&ratebypass=yes&dur=21.312&lmt=1753196169257357&mt=1757234995&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=0lkD2_nooBE-QQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgeSboNQow37GH2pPz4jKpwagWYal6BmgjbFgc3Vav1UgCIE0QjVYrD8F80M4pOiqhRSh4lAyZjMyi4hJRMtm8LiVY&sig=AJfQdSswRgIhALUimZuxreE1exCnjmbF4KxiDz7q7utTs1ZrMvg_Xa8iAiEAoHEzYzWylG8ErQA09EaJIkCDx9fsV2c2r06ZK0mPSBo%3D,Happy Boy · Lunatic Souls,8K,571,@김마마2
보는 순간 뇌정지 오는 자동차 기능들,https://www.youtube.com/shorts/QshqKvxYoew,https://rr1---sn-3u-bh2zr.googlevideo.com/videoplayback?expire=1757257011&ei=00i9aM29OpXU29gPmeiSSA&ip=220.72.66.139&id=o-ACiwR6tBR3xDSoBXTafcN4cUV0k4HNktP2Zo4Y3Wy4YR&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235411%2C&mh=Vs&mm=31%2C26&mn=sn-3u-bh2zr%2Csn-ogul7ne6&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3937500&bui=AY1jyLMLdq7lyiFNYX4h61Cpe5lwP3JoEf8n48rGM48vDAcvMDLlRpZ1PzMf4SXMTJGwvQ5aF96JAydT&spc=l3OVKWJlAUQ5UvV2i4zRpoTuvGFXRVsiq_-esEWZ9of2Q-A55qf40zO7sxEhm4zD-A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=iiPCIfEhlX1MOJe02pc99MoQ&rqh=1&gir=yes&clen=3533938&ratebypass=yes&dur=47.722&lmt=1756510887665242&mt=1757234995&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=AALalzek_Qslng&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhALSb6GfLFjYD_8suDOuwKye0WdGzEatR2Y6ncK_6GVlmAiEA9R54KGZrwq11-dE5hWz-8acnwVuWwRVtYaeMS1Vm9RY%3D&sig=AJfQdSswRAIgertl5DvA7bU0oaWYNwbMyBEIaMcF-FGCFFY9UIUTWBcCIGbiyCPCji_etNmHKYa7Zg01mtoiQ-c7c6fud4a3mPk-,Joyful Serenity · Rhymora Music,5K,470,@깎고다듬고
세계 최초 변속기까지 카본인 음료회사의 자동차,https://www.youtube.com/shorts/se5IrRfQleQ,https://rr3---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1757257010&ei=0ki9aMaPB7DJ29gP1YvY0AY&ip=220.72.66.139&id=o-AE7V8Z0jCbrLQQH3oL9e55sSDoD5dnPTy_B6An_LsmbX&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235410%2C&mh=PC&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguelnzr&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4265000&bui=AY1jyLNPNHMIpHR45XlL5TX_bexCIShP0lnSrLHTm8f6BU96ErewvEHtKmyvXRWEGCM9tUYEKk48M6kG&spc=l3OVKeuUKAp7x5eHJnbp_hFBPQfCqg87mG7XuBAtxQRP0W3z9bdovcmAuUbjQTxuOQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=y99AY71NcAu96LJJlnMHUUYQ&rqh=1&gir=yes&clen=3051834&ratebypass=yes&dur=40.938&lmt=1742075136117516&mt=1757234995&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=kt-BKAf7tTpC0Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgY-QCKQBA_MRXWqwpQF75_JlidESKhNEGSZNdY0nYnhwCIC99pQrpvZtXLGktnSJBn8Neiws0XloH98uurQzymW-j&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgLJV-QG7d_tVnxd696LgQmFRMwNQHuCnqklLIDGQ79fICICPmQgklFpbF0Rf-LDnX6q-xw_4PZReHc9UW-FTKVIGK,,15K,502,@유휘
#자동차 #사이드미러 커버 교체 꿀팁🚘,https://www.youtube.com/shorts/Hd1O5qsdeho,https://rr6---sn-3u-bh2ld.googlevideo.com/videoplayback?expire=1757257019&ei=20i9aNPKIJ6H29gPg9amoQw&ip=220.72.66.139&id=o-AK3aHCWWxEyNXFKlHgY2AwZy8uuB9IE4sQjLHHDjYIFo&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235419%2C&mh=XP&mm=31%2C26&mn=sn-3u-bh2ld%2Csn-oguelnz7&ms=au%2Conr&mv=m&mvi=6&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3990000&bui=AY1jyLOXjjLKlUwKi6sDfpI7qxu0DzGoxx-a4x1qJkKBzAUUCV-4e5tciLWO1Pg-R6GdPGVd06gakdNv&spc=l3OVKblXbYs__K5WCG9yFuM49kxdP93zTSFn6Igx5TyHkfNpNliLC-BCH67m64h8wg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=7Q8XWFS_jCxyfPz_fjZGG2sQ&rqh=1&gir=yes&clen=2204312&ratebypass=yes&dur=29.504&lmt=1743916989427981&mt=1757234995&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=zZso4oUaBfKN8w&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhALjc4mZH-IsngMLiUdDc-7-BJziuPQOMfSr9aNq1b9diAiEA52fpbENOWwVoZCE4UDyXFwOyo7ljvTf4kW2uin6YQZM%3D&sig=AJfQdSswRAIgNzZJilNnlsnkztd03BqLK2oVfuB-NhPA6dnyT9QGVX4CIFpqNvrADgbCPAPUeqsVMGQ1XUAEo8yO1OZGTd-_4pMU,#자동차,20K,985,@heedrive
☝️위에 눌러 구매 : 63번 | #차량용품 #차량관리 #차량용 #차량 #드라이브음악 #드라이브 #자동차용품 #자동차그램 #자동차 #데이트코스 #여친 #남친 #쿠팡 #꿀템,https://www.youtube.com/shorts/QvMzW0aj-jw,https://rr4---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1757257021&ei=3Ui9aMfBAeDp-dIPr7CF-QI&ip=220.72.66.139&id=o-AEcT-vLmMPZeZ21nccAA416wHy6NazlRgZKy7es0xyI7&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235421%2C&mh=mu&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-ogul7nez&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4265000&bui=AY1jyLMaiRNlNzvfnblegk9aqnIUqLj8CmUIzi7d_0BR4hBGFUQLr-iYY3bnbvZ-Qcyg19miATn7JBBP&spc=l3OVKYvYDTKqC9f7fePKsf_kZFHcGHqXJphrmLESH2UUiXKjnYkq5Q1A99UEaiTUOA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=SeGMfqPwkmqm45O8dg8vxTsQ&rqh=1&gir=yes&clen=587231&ratebypass=yes&dur=7.914&lmt=1751203099313650&mt=1757234995&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=tmNgTTEPmXl9zA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgGnGWBRxQAtZmueUoGvXc7YDBDuP_sJWZutpsImYMXO8CIQC75yN-GsA_0itV-kMwh6yUeJjctYxV_BX1lCOjWIOtKw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAKvTBCkA03Bbeg5U4M_z0CjXyEd1FrUY8sXNayodirFPAiEA3aa3DmuRY1d-EEZ9U0qMp6k9x2wmQV4w5Kp4Wu3zi8g%3D,#차량용품,4K,696,@행님쇼핑
페트병으로 자동차 덴트 복구하는 꿀팁!,https://www.youtube.com/shorts/jvFVKCaz_hQ,https://rr3---sn-3u-bh2sk.googlevideo.com/videoplayback?expire=1757257021&ei=3Ui9aIykLNSY29gPxZTK4Aw&ip=220.72.66.139&id=o-AG62PbKWKM9M7Tk5Qoyd1J7CB7JsdoW01rXAEhTeTQ7B&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235421%2C&mh=yK&mm=31%2C26&mn=sn-3u-bh2sk%2Csn-oguesnd7&ms=au%2Conr&mv=m&mvi=3&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4153750&bui=AY1jyLO8OSZfsYM9qCUBnehhRq5ojmIU16LESwSjeO_osoAW4M-y-lxaTb8fCgvdsWIddU5Iutkjkflr&spc=l3OVKZpQjKq5SniuD2ZX6s4aJe0fcQ5Ai3HnDUcXhPVkLxH_DguZCGyaaabv9x_pUA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=cgvSe4Ebgnlfl4V1N4hHdC8Q&rqh=1&cnr=14&ratebypass=yes&dur=21.315&lmt=1754580529176268&mt=1757234995&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=tAo63LdUVW1Lew&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhANr-c9AtlyJyxt5Zg8oXSA6-hXmR8YBMpHAD_hEJBnTWAiEA5m2AQKFp5ux5O8UxQVc9HrAjOSiDgtp1kUviKxJ2eYs%3D&sig=AJfQdSswRQIgUFJ2Cqh_IvvB2t6oiCmpCy9ia9-rw1GcepF46oAMqAUCIQCTaAMCHdT5EyzO3BT8eDYLChisu3KwLoxkkJdUQFHYuw%3D%3D,Over the Clouds · Lunatic Souls,2K,515,@iamintheworld
수출용 경차의 특별한 옵션,https://www.youtube.com/shorts/5weo5OmIsMo,https://rr1---sn-3u-bh2zz.googlevideo.com/videoplayback?expire=1757257022&ei=3ki9aIG_AuTh29gPs-CMiAE&ip=220.72.66.139&id=o-APF7eU74www4ZuHff-v6qJ3Gj581iL1-kO4BqlOoOrCr&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235422%2C&mh=2M&mm=31%2C26&mn=sn-3u-bh2zz%2Csn-oguesnd7&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4265000&bui=AY1jyLMc8wR_u4oLvbV482DhcecIdvorHfSd0mp4lsgZm9CnJx0rBjG6ONbdkB_h0r82ERQC2O7lPU8b&spc=l3OVKQZwJXBLTZoeJL5XPItpJwl4OhrRLCca0Gqcn7zM0yPfgVUrhq8z2OWpbFc_mg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=BxLJE7R3B7ApUBiKghiTKLUQ&rqh=1&gir=yes&clen=2949742&ratebypass=yes&dur=39.232&lmt=1723029400245816&mt=1757234995&fvip=1&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5530434&n=RnfjoDkOOYFJXw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAKYuU89FDiBLGBh3ej_xaZh6AsULOWsOjk-_PdTCb_o5AiEAqB9vfl8uxBggyudik6AEcfiUYvb6dKeXkXqikQ8JWtw%3D&sig=AJfQdSswRgIhAKBW54p25HTWfZYIYKyrwpt3294dI0uqDHbPiKUP9iw9AiEA_6Xyeg_RVE8DGf4xtvPgPyxZ71J21nLlFN8hl6TBT3Q%3D,First in last out · NUNU,6K,480,@_issue
자동차 통풍시트 옵션 싸게 올리는 법 #통풍시트 #여름 #자동차,https://www.youtube.com/shorts/V593OIGaA1A,https://rr7---sn-3u-bh2sr.googlevideo.com/videoplayback?expire=1757257024&ei=4Ei9aOOpB42Z29gPnL6M0Ac&ip=220.72.66.139&id=o-AC6baGfT7bSAV4VJIeSRo-quLsFajOfi_m1wtkYB_dmd&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235424%2C&mh=fV&mm=31%2C26&mn=sn-3u-bh2sr%2Csn-oguelnl7&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4223750&bui=AY1jyLN-HKAzPoSyY2eiR9_IjQa4zqYbjekmHKDudVccpZAgTHJglGnx08LyUQCcFYWxrYco4ZyhCxVL&spc=l3OVKYtn-l6lnsU5O1lv_AAiR1rRv7_K7rJ4dJMmicFwjfggbBqJBOyQX499s1UViQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=WZV_GrhS7tohy9kpoHNUhk8Q&rqh=1&gir=yes&clen=2626457&ratebypass=yes&dur=34.965&lmt=1751704876278210&mt=1757234995&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=DuXyqgDju9nZlg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgTI4s58W_quQ7pvxPTKqh5kLsy70SWxEnFIR6yzRDsTQCIHRwzRB1kQp85RNK1_LakmlR2NWDTvTug25-oqfENPQ1&sig=AJfQdSswRQIhAOuE-E3e8Gcfkg2zEP2lt1bPj66sE-N3VLTAh-EOwg9qAiATVMlMVwrVvXLW6hJPZ54zWqH7oCLvrKoXq3jVDgn5BA%3D%3D,#ventilated,1K,793,@리뷰하는아재
