TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
머스크가 인재를 채용할때 절대 뽑지 않는 유형은,https://www.youtube.com/shorts/VOPoeZhuwrc,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,Cheerful Vibes · Sonique Music,3K,976,@천재형musk
일론  머스크가 삼성을 선택한 이유,https://www.youtube.com/shorts/ZSvroRtkZls,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,,7K,722,@hs_academy
빌 게이츠 vs. 일론 머스크 대중 대하는 자세,https://www.youtube.com/shorts/uYSudydS8Y0,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,,9K,172,@Wisdom_Box
일론 머스크도 극찬한 인터뷰! 승리를 만드는 뇌!,https://www.youtube.com/shorts/zAqkGVfTf2s,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,,13K,660,@밍팸
BBC 기자 씹어먹는 일론 머스크 🥵,https://www.youtube.com/shorts/h_BWhrzAZSU,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,,4K,877,@Wisdom_Box
"주 7일 일하는 일론 머스크가 말하는 워라밸.. - 동기부여, 자기계발, 성공, 부자",https://www.youtube.com/shorts/36ev-23neSk,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,,20K,161,@Reform_Human
일론 머스크의 인터뷰 철학: 진짜 인재를 고르는 비결,https://www.youtube.com/shorts/aK1Y6fUteCg,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,,6K,169,@supermomclass
일론머스크의 눈물,https://www.youtube.com/shorts/xppkIQR1GTE,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,,17K,889,@sentenx.
"17년 전, 일론 머스크가 남긴 한마디 | Why Elon Musk Chose Mars Over the Beach – 17 Years Ago",https://www.youtube.com/shorts/6Yxpw7u_EVM,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,,20K,100,@MuskLog1
"일론 머스크, 다음 투자 섹션은? | Elon Musk, What’s the Next Investment Sector?",https://www.youtube.com/shorts/i79he98mrS8,https://firebasestorage.googleapis.com/v0/b/reels-373a1.firebasestorage.app/o/%5B%E1%84%83%E1%85%A1%E1%84%8B%E1%85%B5%E1%84%82%E1%85%A9%E1%84%8F%E1%85%B3%E1%84%85%E1%85%A6%5D%20%E1%84%8C%E1%85%B5%E1%86%B8%E1%84%8E%E1%85%A5%E1%86%BC%E1%84%89%E1%85%A9%20%E1%84%92%E1%85%A2%E1%84%8C%E1%85%AF%E1%86%BB%E1%84%82%E1%85%B3%E1%86%AB%E1%84%83%E1%85%A6%20%E1%84%83%E1%85%A2%E1%84%83%E1%85%B3%E1%84%82%E1%85%B3%E1%86%AB%20%E1%84%83%E1%85%A9%E1%84%86%E1%85%A1%E1%84%87%E1%85%A2%E1%86%B7.mp4?alt=media&token=49b3f9cd-43b2-4b98-b885-f781db404199,to infinity · Echo Note,1K,612,@MuskLog1
