TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
피그마에서 이미지에 있는 텍스트 1초만에 가져오는 꿀팁 공유 #피그마 #figma #피그마사용법 #figmatutorial #figmatips #figmaplugins,https://www.youtube.com/shorts/NW5eWiEWOTQ,https://rr2---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1757256694&ei=lke9aMemM87k29gPxPrrkQM&ip=220.72.66.139&id=o-AOeXZzOxnvlyCOg0r9bOOIriZooJn4rV6r9QLPTEgf8P&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235094%2C&mh=f_&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-ogul7n7k&ms=au%2Conr&mv=m&mvi=2&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4223750&bui=AY1jyLNzx_kA3GFiSpXZ5enoMnEfiBYXjHL0cZM4dDVHuuyUHCNkYARvw8oRvoj9D7P74JAdGAbotsaS&spc=l3OVKbDkwIoOhJw-h_XT_jB9viYEO9U0AuZlfSBpGobn5g8-jJ7-akX2TtF-hEnYiA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=7H4krzXoTpuPr7_vHU2F9OsQ&rqh=1&cnr=14&ratebypass=yes&dur=27.863&lmt=1699403980680820&mt=1757234747&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=WJqna-_9LRXWTA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgQyxZ-5rdPB8nO5VDiZYflwHjA8wNVt0R4OunlEB4XKoCIQC6Jm-uRa9trtR8uS_HmLi8a32HxOJW6zhDL0YgOdlqtw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhALw5ykEwmDcm7ApX_RF-EJhbAyADngjGiJ22NnQtWHjyAiBRmISSIHdXnNWPElgvhnUV5jyIY1uhE0nzXWj6IXVN6w%3D%3D,#피그마,20K,487,@figma_tutor
Lottie 애니메이션으로 웹에 인터랙션 적용해보세요 #피그마 #figma #Lottie #인터랙션 #프로토타입,https://www.youtube.com/shorts/IPzCNdFhAh8,https://rr7---sn-3u-bh2lk.googlevideo.com/videoplayback?expire=1757256694&ei=lke9aLyHNL2Y29gPqtG3sAc&ip=220.72.66.139&id=o-AJeTZtjcecHrXPjiCze3pJaRefHDaMbL55n9hASWWTWa&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235094%2C&mh=LQ&mm=31%2C26&mn=sn-3u-bh2lk%2Csn-ogueln67&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3761250&bui=AY1jyLPgiC32XvNPrtuR4OdJEk8zXBossYQx4CYMzO1XAYmodAFKWO34yk63epJM1_rWAf6oynMlV7EQ&spc=l3OVKd7d-zwyIDI39T8kbok1pmxPnO9PZACzRPvrfVgUVkPWc7q-p9DltyCcq8HULw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=n7FaAhPEod4iFErn69ovkZoQ&rqh=1&cnr=14&ratebypass=yes&dur=32.020&lmt=1728917891548976&mt=1757234747&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=MI-3H2POx0lVpA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAM5BShu61o70vV1yFS2iz4n5DTQKOvRj9OMvWvb5ABMeAiAhnBVIfgj0rrMuFd_E_RKoJRFgkQFVlZ5ZfymTLcAnkw%3D%3D&sig=AJfQdSswRQIgIihOVsOrbaE0EYv5Dd28PJ1ovRq0oE1iF23Dv23laT0CIQC4CZ3w6sSwMVbnTlkjerUkbdslG-5fmCEoqejeO6qB4Q%3D%3D,#피그마,11K,654,@let_figma
지도가 트래킹 되는 듯한 프로토타입 만들기 #피그마 #figma #navigation #지도 #prototype,https://www.youtube.com/shorts/qLU8sTZrAck,https://rr3---sn-3u-bh2lr.googlevideo.com/videoplayback?expire=1757256697&ei=mUe9aNmgKs2N29gPoomSiAc&ip=220.72.66.139&id=o-AO3lH9GSjLmV_Oimi8w0NxuOdijdPGH4gCJOf6kULFgB&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235097%2C&mh=ZD&mm=31%2C26&mn=sn-3u-bh2lr%2Csn-oguelner&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4156250&bui=AY1jyLPhopwnlrjBfWugU3p5kxOqXWrVLUb1XYtZDKW172L7caOnFQ2FkgGIglibPcJ16ZqBwl3xyQPv&spc=l3OVKZvMgA6-TfbM6zRuZp69WIRnWt8l-OH-EmeW3tRu40slSU7l4mCO_IZMnL8BOg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=oeFR11rkDJO5aIItEXIyRQsQ&rqh=1&cnr=14&ratebypass=yes&dur=22.778&lmt=1744357480909705&mt=1757234747&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=e5xsmNgv52aNlg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgTrkGNMOzCY4nqIkMvpcy-FccgKYD1l7FY1HtAR7yEvYCIB-1gCRgJ9ADkDsny0xXc4R8qStd3SQ4HtcNk9qMeeOs&sig=AJfQdSswRQIgeiSz1aqiCg-89rnBakMbzB7DGapD-Gg8MEtnHe3bhNACIQDrzKdtQ0iE8fWKN65IVjzmfwdOGa-kQ5NlYkMSFUlSiA%3D%3D,#피그마,16K,91,@let_figma
"피그마(FIG) 미스터리: 누가, 왜 상장 직후 주가를 폭락시켰는가? #FIG",https://www.youtube.com/shorts/AKgwRtw0Mz0,https://rr1---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1757256696&ei=mEe9aJjKF5XJ29gPhI-u-AU&ip=220.72.66.139&id=o-ADuac9hwhh00QVfM-Ta7n7RY7bU7HSyS8yrjuz6gDxH5&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235096%2C&mh=Et&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-oguelnl7&ms=au%2Conr&mv=m&mvi=1&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3781250&bui=AY1jyLPa8gxH_ndPadzy8VPRFU9INdoBsbc-7oaa4QU8vUJawBws3nDSXtQhwZRrWKZqihaO3axg8tKo&spc=l3OVKfwFwDcz_ZF7cxYpMDsxSe5k7qnHOJ_fw5Cq_EQQBKSp-dGiEFvXysetJElMVA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=RPW2tROAMyAt3bgZiPkrOu0Q&rqh=1&gir=yes&clen=8245976&ratebypass=yes&dur=179.050&lmt=1756936699581652&mt=1757234507&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=ljmpBKLn8czakA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAMAY1EyXj1ZJqkst6Odsq47gWryxQRIYz4RzKlDqS5e6AiBWK2v2o_PCsZIoQkZTIlJs9h1KBkrN9GdbdJ0LGR1CWA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgD67tthXGiBb2E-rzRHzdqrz0IKyV23DfFuU0Zcu5x4ACIQDxBKwvK_SqS8xgjbG5zH0nMfJtxlHAmIBJ9-n1w4l6Pw%3D%3D,#FIG,12K,617,@valuester_official
라인따라서 도형과 텍스트 넣기 #피그마,https://www.youtube.com/shorts/p-mizRrl1KQ,https://rr7---sn-3u-bh2l6.googlevideo.com/videoplayback?expire=1757256702&ei=nke9aNDXL6zx29gPu72HSQ&ip=220.72.66.139&id=o-AHgG3lSeb1zCJk9CPUNEd56-bNOXf10EHszihyCL9Pdp&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235102%2C&mh=IQ&mm=31%2C26&mn=sn-3u-bh2l6%2Csn-ogul7nez&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4056250&spc=l3OVKTrXURSc9Q4furR9IVGEgqGQnH-7YNG7wvVNkLaUZskwtpX3Oc2ZohrsebVBYg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=2mREFCpJ3nV4RLU0h02F8B4Q&rqh=1&gir=yes&clen=437212&ratebypass=yes&dur=9.194&lmt=1725593735746607&mt=1757234747&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=D71HwO5cXccjpg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgHV3OS0bEkiKa78Jt8R1dcUX8DZa4kTV-XBEmo-9GCksCIEKAVHVFXrlXDfA4E55_rQlDD-jrNpb2tEbDi3rBtiBx&sig=AJfQdSswRQIhAPn9mm1yavWReiYDUrDVEunLr9A86czFfxiu8XzNbNjYAiAueBl6w07gsmBQXC_BOKb2fL8GYrjrAELnMrqAjbMrIA%3D%3D,#피그마,10K,35,@figma_lion
포토샵 VS 피그마 어떤 차이가 있을까?,https://www.youtube.com/shorts/SXjpCV_rN3M,https://rr5---sn-3u-bh2s7.googlevideo.com/videoplayback?expire=1757256696&ei=mEe9aNr8F4-J29gP2PSu2AU&ip=220.72.66.139&id=o-AAjIBkxN0dUZObHYVOreUN1Z0CbWbjxlLlSw19UNBeRk&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235096%2C&mh=jb&mm=31%2C26&mn=sn-3u-bh2s7%2Csn-oguesnd7&ms=au%2Conr&mv=m&mvi=5&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3870000&bui=AY1jyLMFZYs0LNzUvt74w1vpp08i8ZTIrCU20guPQ45FkK-G-5RVC7ib5RBJ4S38K_Of1t8d5jRf3xQI&spc=l3OVKXeOVPAwu5l04EkKVC0kZFAO9W3RfBb47oUaoCvLAyY00k08-QJKvIiR5GrX4g&vprv=1&svpuc=1&mime=video%2Fmp4&ns=cC30PtW3hYESn7HiyszlDWUQ&rqh=1&cnr=14&ratebypass=yes&dur=58.328&lmt=1745939167832726&mt=1757234747&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=wTSV4P-DHNxhhQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgbEe3gjupYBdJ3NGA_ss6wE0MS1-As456scRDkwg3wqsCIFU7J7z_Q8Qd9eaYEfXC7JXgmTceDGfKJCpR7RvKcJRe&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgVGdmWT2_A8Fj7g5h-D-PFzjlGdLRg7RoqSxT8vibNWoCIFM8W0-95z5J67jjbnlNWU1JJy0q2L_4cwrAlUm9K2NT,,16K,46,@실무자
포토샵없이 피그마에서 Fractal glass effect 만들기 #figma #플러그인 #갈대유리효과 #글래스이펙트 #피그마그래픽,https://www.youtube.com/shorts/_4SQIdfBX_c,https://rr8---sn-3u-bh2zr.googlevideo.com/videoplayback?expire=1757256703&ei=n0e9aPi9Mrvb29gPra2fSQ&ip=220.72.66.139&id=o-AB7cMJtJEvugd_RxRlZ1GJSOeBb025xNI0ac5G0fAArE&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235103%2C&mh=cP&mm=31%2C26&mn=sn-3u-bh2zr%2Csn-ogul7n7s&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&pcm2=no&initcwndbps=4067500&bui=AY1jyLMbSeGmr4L-GEPx6zXDTmtQZECGMkCLWomejEGMatRjxWc-7KSLZl26WSKMTcwxvrrB0mUucNVm&spc=l3OVKdX6aeX5ltOzX3aYl8N-I9lpQYw4WTO2JO864Dsl3pkftK-XYPrv6mXoyZHUew&vprv=1&svpuc=1&mime=video%2Fmp4&ns=woeybbwmq9G1rxNqMWrK2uEQ&rqh=1&cnr=14&ratebypass=yes&dur=14.651&lmt=1744950052877605&mt=1757234747&fvip=4&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=ppeBy5tEAk9Ypw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgFnV2sWCCNiayWb9UUScBf62cnciZByuorbDaFVY4EX4CIHFdUwSikUPYTcQ8ZonROGNhyI9W4n6VkzWCEyA0prCn&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgCE-KiBybGcxa0jbsncAFX_sl4Wvs08HH2WdVI7p9tN8CICzqc6YTnuxA_9jFJFbfszJT2de-TSmvvGNclw0-jV97,#figma,4K,659,@let_figma
피그마가 툴 대통합 이룰까?역대급 업데이트 Config2025 핵심 요약⚡️#make #buzz #figma #figmaupdate,https://www.youtube.com/shorts/apULibpjmg4,https://rr1---sn-3u-bh2sy.googlevideo.com/videoplayback?expire=1757256705&ei=oUe9aJ21NdeI29gPm-OnwAE&ip=220.72.66.139&id=o-AAveo3zcvx-loJX3XAsBe-n7lcuvPOLAaEKqzAJQ35oO&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235105%2C&mh=Fw&mm=31%2C26&mn=sn-3u-bh2sy%2Csn-ogul7n76&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4047500&bui=AY1jyLNvHTkKwFjBm0mcKTSZkZx4gfn-DvUgmbxKwBcqnLxAGGh7j2vvpAWJXODCwfNh-Kfbcztcx_CV&spc=l3OVKa6XShUaActCl5uXbElXypMSdgIuAOsfLgSIa-zP1fqFg1VvSVZM9b4Uqte3fw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=G5jqfu6Rc72SUEipQjWqqLkQ&rqh=1&gir=yes&clen=4503120&ratebypass=yes&dur=60.181&lmt=1746679414765649&mt=1757234747&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=EXrPb2WW90mzSw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgeeS1jHM4eSpwabNNflu3l4cXqMHEB3Y2WLuAV1le850CIQDNZyhnPqu5_oFUx5eCsjiaCv-O83OB9HqX7v_UAg7qCg%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgHZ3CI3f-uxiqdBreFbO2jJ66SC2foQvN03BHRmz_MwYCIEAguF8RUC3kYKsFTXQiQs11ijpBDoGn0G-Qm5pOFp8H,#make,3K,699,@figma_tutor
피그마에서 이런 그래픽이 가능? 3D Shape 만들기 #figma #하루1분 #3d #figma_tutorial,https://www.youtube.com/shorts/NZdChLOO7EA,https://rr2---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1757256707&ei=o0e9aO_ANfSI29gPnqzHiAc&ip=220.72.66.139&id=o-AFWJiWdATcGhNLgL95jmUjGYYXese6IMfcprNDdY855i&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235107%2C&mh=bL&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguesndz&ms=au%2Conr&mv=m&mvi=2&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4223750&bui=AY1jyLMkFcjkLLmAqpLO-YVrFxtwArLvtQ1h1x557A7yIJYQcQeFXLmqXFpsOV_ZnhM7JFK0Umwk4XjR&spc=l3OVKW59KmTahgVJNbK7rZvRvSJrA5Vj389zWd6W-sBHn-UFnPeE-M0VhxR6G7KT9g&vprv=1&svpuc=1&mime=video%2Fmp4&ns=5_NCoks8TQ7E3pI6wOiirPIQ&rqh=1&cnr=14&ratebypass=yes&dur=53.707&lmt=1697824487022423&mt=1757234747&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=6300224&n=ZhonZrf3YBdQBA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAMEHqI35FHAzn7ccjpCPiFgM4JyGfJNhQG0jt1NNPPrmAiBKrMC4Lu1kfkt_Kn05NIycPygEBYgUYG3m3aCZIWEBvA%3D%3D&sig=AJfQdSswRQIhAJNIKnmVIRiJotZnx9WOeAlb8CTqxuUjB_ec0uQWScYRAiBmCIaBO9NMqfRTFhZ9goYGR7a-gFxBT_0R6Tg5iBiW1Q%3D%3D,#figma,4K,494,@let_figma
피그마에서 Dashboard 달력 프로토타입 만들기 #피그마 #figma #프로토타입 #prototype #프로토타이핑,https://www.youtube.com/shorts/pN-lzru6n2s,https://rr4---sn-3u-bh2z6.googlevideo.com/videoplayback?expire=1757256710&ei=pke9aMKAF92V1d8PtoidmAM&ip=220.72.66.139&id=o-ACSCNSINjYO-Q9WbFvf4pQaWnYYgZ25m9hvAgPpJmt9N&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235110%2C&mh=Uw&mm=31%2C26&mn=sn-3u-bh2z6%2Csn-oguelnz7&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&gcr=kr&initcwndbps=3531250&bui=ATw7iSUIIDzQaDWmS9nlOyAQctl3nPNEhqZMau-FI53zfFL_Z9MH-Yt-Evoe2zhif9plm9RXJBQgaOok&spc=hcYD5T4WgkKSUG6c3CK4E_8AcFKhx5h_CRYgmNbCRg_D7pRcLezI8CkSwMRS7tEHiA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=ALFIGdgMeeY9yaTPsTy_EqYQ&rqh=1&cnr=14&ratebypass=yes&dur=20.990&lmt=1738348464387928&mt=1757234747&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=6310224&n=PP3GIoNuRqkywA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAKykCGs-C3gjVcDb6_XGrIQ91Mfhq-R3NUyxLmeOvXVdAiEA2l1iOjyP47UFbH9sGPTe-9cBuEwPCkvHflcsQDtUJqs%3D&sig=AJfQdSswRQIgZoBsNaD2-A_6WcLkFzTfdpvptAiOP4TYI0MeUo4v6aICIQCdfkj5msqAWPd8cCy2mu5vBO4PpX3XmGIkOxQlonfpOg%3D%3D,#피그마,4K,139,@let_figma
