TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
티어별 넥 휘었을 때 특 ㅋ #guitar #기타,https://www.youtube.com/shorts/hLowXhy8kwg,https://rr3---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1757256002&ei=4kS9aIOnFe_X1d8PhPK8mAg&ip=220.72.66.139&id=o-AC_IlF-A9_hf4eKx_59vYXRVs4tGHw0DI77o_TU0u2XD&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234402%2C&mh=L0&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguelnsz&ms=au%2Conr&mv=m&mvi=3&pcm2cms=yes&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4166250&bui=ATw7iSWpQmz-4_qP8ptZqDhsmCfUp-EmRFwn1Cp3H7eQHIIsOS7VQjbf_RrBIH68aQTlaZTMpHnUcGp9&spc=hcYD5Rsh8DkOWL4Cg0zBrceETs3NI54esWZ14Pskv-Hf3bQseygCUskBYEY-jNBamQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=cIBsuAIafciondmFyReE_ScQ&rqh=1&gir=yes&clen=4078949&ratebypass=yes&dur=54.826&lmt=1741748996712252&mt=1757234034&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=hD3efbkwivjCHg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgbx_BzZcUdgmKrz_rGGi3n1oMy-vV7e3VnPfhKC8Ixb0CIQDRscOQnFPgLk0xgoX4qVxqXpfD25-o1ZekVKqwfjUckA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpcm2cms%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAJk_QM11k6E0VrFhKTVuWLUKQfFDOTV88Rv_p-bOWaybAiEAko9OopY5wYb7mzX2WHdI5PfbPO2fNPFzDYLF04LKfCY%3D,#guitar,17K,650,@둔둔쌤
K-고딩이 말아주는 오아시스 커버,https://www.youtube.com/shorts/CosM2VLmgGA,https://rr5---sn-3u-bh2zs.googlevideo.com/videoplayback?expire=1757256002&ei=4kS9aKCuCe2J1d8P2OvF-Qs&ip=220.72.66.139&id=o-AI1aA4x6p3uRrhp0MOckztrXwe3z2NlmPeS-6Obal9ei&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234402%2C&mh=ud&mm=31%2C26&mn=sn-3u-bh2zs%2Csn-ogul7n76&ms=au%2Conr&mv=m&mvi=5&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3765000&bui=ATw7iSUamduYl65UkQ70jOMETwStslmG0nGSEflOPoN_BLllqAs1K4nX_Uo2x1ooGeVJrXI37ZU6WLwX&spc=hcYD5cECUC9wY_FyNFqH_q3v_Owq2Ssu4MFtFCaswRfahNuPZsYJOtJT1__czyJLow&vprv=1&svpuc=1&mime=video%2Fmp4&ns=oc6f0oU0SVBox1KK7Yh5hcoQ&rqh=1&cnr=14&ratebypass=yes&dur=29.094&lmt=1738927035186062&mt=1757234034&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=PgbWBguVNXDmew&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAKP1OWOzgqMzPDi0izJA3kNK5b8Jssv9KpltyoFF25YnAiAOB5ZBojPmqGo7zQhfY0dO-CTSvQl0J90bxrmCF6EjcA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgQwsiqlIye62IL2Sg8I7s732-Z-CN6w9aErKoWtIOXcwCIGSTqxIS-tRRgDXQ0gjZ6GsWgLjUIpzUnd_SnYrxEvhL,,17K,371,@aht.playlist
나도 이 챌린지 해보고싶었어ㅎ / pretty little baby (riff),https://www.youtube.com/shorts/tfY8sLLSay4,https://rr1---sn-3u-bh2zr.googlevideo.com/videoplayback?expire=1757256002&ei=4kS9aMoC3IzV3w_YzbyICA&ip=220.72.66.139&id=o-AGib5_TjvWubCyuSS3SBg3bNNu1mZnUMsXTVW22AySwi&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234402%2C&mh=4A&mm=31%2C26&mn=sn-3u-bh2zr%2Csn-oguelner&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4066250&bui=ATw7iSWW8kwCiIBh-vup1yJCgVfXFd_71Zj137n1aXiy2UuoZnsLIvhYXFOgVrraaNBZRu0o7_0ZUFM3&spc=hcYD5b6X-sQrsppTRlfLsZxQbrg53LQYZ0aZ55zcCWAytrtRVjSFe1oWGJ1ncSD2yw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=Gl9pdNS9g0kIgFZeF9d8rPsQ&rqh=1&gir=yes&clen=1644181&ratebypass=yes&dur=22.186&lmt=1752891538101416&mt=1757234034&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=D8sY0xcyUrbx1A&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRAIgNP9tHJ1fNbZ0K9OBFwUm5thXCwxYUQb1fXG9-eG6-HACIDHfRNNhibnD2WHRTtn5IJUjUCFXrCqwoPjifZfiMcrW&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIhALVzoO_zr-vPeDa2iyIVbVuOxkwbf_CYIAZl1biOs5brAh8Qk19Rabp4p5yLz7T-mSqNRNYsCHkuPyAQZ8DBeNaG,,18K,372,@nanome_0o0
기타를 조율하며 치는 장인,https://www.youtube.com/shorts/u06sbBtg-qM,https://rr6---sn-3u-bh2zk.googlevideo.com/videoplayback?expire=1757256002&ei=4kS9aISfMNiO1d8PjaXKuQ0&ip=220.72.66.139&id=o-AB0Fie1Yos9WQ2woWyPlG62fLmwGUQDwp1ENHzwyO3-b&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234402%2C&mh=ln&mm=31%2C26&mn=sn-3u-bh2zk%2Csn-oguelnzz&ms=au%2Conr&mv=m&mvi=6&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4075000&bui=ATw7iSWoKXoUdg0SD_4OhTsCxJr9fbempywPYbtbhElehAzu-VvFVsMBim96_QqBCE8pghc3jhGqUyKN&spc=hcYD5bmepCNA4ubbfoP3K1pyPki7AkzkOMeizbniH2ezCg0SXIFeH-1JyWrSwKVofQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=6Mc240gRWPi7cyP0tDmD_BIQ&rqh=1&gir=yes&clen=1970431&ratebypass=yes&dur=26.389&lmt=1721918830951152&mt=1757234034&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5530434&n=Qy2WARewDmiNcA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgKSOfQSMyegVn668PNSlgDTZ8SnNTsdYLRYa5VTobINMCIQC2uLmvgiycrIreaQeWJD2Hb-dsUvYWGBXbU-BZuaTqMA%3D%3D&sig=AJfQdSswRQIgXnEpx8qRyG7eikezHSdyloHygiXffwyMjoAUjSp1AFgCIQCAIQpk375ryAbzuWyxNdd9Rx21gvuylfm5MYeZgAWjQg%3D%3D,,10K,682,@metaclubtown
24K 황금 기타줄 🤩 소리도 좋을까?,https://www.youtube.com/shorts/v-Zwe4YlWbk,https://rr2---sn-3u-bh2zk.googlevideo.com/videoplayback?expire=1757256005&ei=5US9aPyrDtnh1d8P797t8As&ip=220.72.66.139&id=o-AL8-oG2aEOFtmEH0_rMNJyfQPCUqGH_Hkguh2hIK7k4F&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234405%2C&mh=fZ&mm=31%2C26&mn=sn-3u-bh2zk%2Csn-oguesn6d&ms=au%2Conr&mv=m&mvi=2&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4075000&bui=ATw7iSVbxI814XRISnhPO0rUj0FjTkn9eMT_7ix88xW1qpgAWLF5Ynk_UwHM1PIm7etpAnnfIH5s-DIc&spc=hcYD5Sh6GFErvXzfw3l-W6m2JgqZ5UeqRzQbz7TGSR0MwwFAZ7GLVi94L5olubqSJA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=IJD7VRCn5YwmGk1x-3P5eVIQ&rqh=1&cnr=14&ratebypass=yes&dur=41.679&lmt=1696611692121655&mt=1757234034&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430434&n=ksP3X_ABfrRYpw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhANg3mh9awBZcl2YZz_02GlL3H-e1oteE-yjponrcgLqhAiB7mkAnotQJqQLmRmAOcU-Giz702uB6qnB7jVpTWsZbAw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAJZCcbUWaebCaPXd2ljY_gOcFdHotRZZDCs-GKfWCnITAiEAjjWSJV3Xz15NO7MbWFu81zDuKU7LIUhJLhkDB4LPgPE%3D,,8K,739,@잼스기타
홍진영~산다는 건♡기타 연주 소리가 사랑스럽네요#happy #shorts,https://www.youtube.com/shorts/T0LVbWMUeUU,https://rr1---sn-3u-bh2sl.googlevideo.com/videoplayback?expire=1757256016&ei=8ES9aIDyMfeV1d8Ph-PC0QM&ip=220.72.66.139&id=o-AIyHBSttV-Zkq6ztyp0__G_-Mo4AbQWLdtktaI1HkjHN&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234416%2C&mh=UU&mm=31%2C26&mn=sn-3u-bh2sl%2Csn-oguelnsk&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4101250&bui=ATw7iSUYBnzxSt2t6cjAKGfjIjQvXySgvnqkKqebpjakP4l1VVVEJiXGWEue4PO_cha3Ron31XotDI2q&spc=hcYD5Q0Us_QlfdEMDiPOmPOVUOeTEEcLMcplOMRtaPVKmaE410I_4ez7BBx8ds5auA&vprv=1&svpuc=1&mime=video%2Fmp4&ns=jcEOitlNTIEgP0sQhZFL6lcQ&rqh=1&cnr=14&ratebypass=yes&dur=53.289&lmt=1697008895116508&mt=1757234034&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430434&n=mk-V78_EeAtrlA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAIpn2byKxFTVUddXdmxAdEfgFsrexF_Tho3v4eq_92TzAiBV7xB2ju7uYUAg76jI7ahpHSDJwmleTUUI97Qwga67sQ%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgHEqk4DZkJy6VGFpwQgB3i9qWdXLIblkRwiNGYvqLITICIQDcVlCm-kQgMlx5tihdts1a4nTz-4dIPe4C59cbn-diMQ%3D%3D,#happy,14K,63,@kkhs123456
기타치면 후회하는 진짜 이유😡,https://www.youtube.com/shorts/koQUYnAf6N8,https://rr8---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1757256012&ei=7ES9aKD9Ctvh1d8P37GfwQ8&ip=220.72.66.139&id=o-AOPA-VTbnCGjSW0nYtA1BY-B7u0bhbXo6dXe1Tbixavn&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234412%2C&mh=KC&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguelnzz&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4166250&bui=ATw7iSWw0ZintPavMpseUSzsMpVLLYwDHldcG95-TZMWDtqRZR5IyvE-OnBvrheIbFId9PLww8K80P-R&spc=hcYD5d0bR9xqOuQVoRbVFVZUWvNOPXqpK2VUVPel89OkjZ8Xxp7oV0KkTIxG7Xk3cw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=dfH2yKGRnMt0Taa984TvTDsQ&rqh=1&gir=yes&clen=1393486&ratebypass=yes&dur=18.752&lmt=1739911564066053&mt=1757234034&fvip=2&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=QMGeQENvLGCWvQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhALAjv6PE5el7fcK2FCTpcgW-T9RwzrttLW5pC8-8HR3iAiEA9R1ZjGTv9aQBQh57U6nIF-ujMVPXiWlXUzYIWO436YU%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgHytUNHFHtg8HaE67hm7MIi4B2B7zhXSvLxitjSmXqtICIFRgKr1ej7PdxrKkE1e4WaTDWwT1g4A9chPQXJpubSxa,,14K,304,@잼스기타
[엔믹스] 기타치며 불러주는 오해원의 백아 첫사랑,https://www.youtube.com/shorts/8ZC32lFFCGo,https://rr7---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1757256015&ei=70S9aJLVJqqT1d8PyKKxsQM&ip=220.72.66.139&id=o-AGHwDG1flOpRDH0PMXzcl6UzRi3NHrlyeEg12aYrJqn1&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234415%2C&mh=jZ&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguesn6r&ms=au%2Conr&mv=m&mvi=7&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4166250&bui=ATw7iSURP-qaWN0E_sxx1xZUfH83vEu752gM-Mi-z-NojEh8HG6ddkvjMYCJa2W3gLp23LYYDjCwEVfi&spc=hcYD5SsQ5fFMKHqQo5kUrNSVlh1PpKYMbIh1xe3ldWcKLVnNSxIXBw6m4fR46TsMuQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=SgtKkn2ti5Eb5--7KUKa_isQ&rqh=1&cnr=14&ratebypass=yes&dur=54.636&lmt=1750120509485552&mt=1757234034&fvip=5&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=WnfxBo0HtTQ0Kw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhANwzspr9bAFCU0YSBwxOqfNo4nSIPvspYtmg4zKOiwg-AiAiAZvCj4uGmkRTfac2Z5n1ms_ytJjbkB4w-hGGwtHE2w%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgFETuQFhDSOJjlfT4jutqMtIH76TQMwm761YLZbeb0vwCIBiZMPw4svWJwYVm8iY54882GKgLYAAdwRn5dqd41jYU,,17K,659,@ohhaewon
일렉기타 잘치는법,https://www.youtube.com/shorts/em07G7iZJX0,https://rr8---sn-3u-bh2ld.googlevideo.com/videoplayback?expire=1757256016&ei=8ES9aKvnK4CT1d8P2Ma0sAM&ip=220.72.66.139&id=o-ALh7czykGPG_i-FJ9N_S0tUudbXwpq1oe0nOLNlVGfh1&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234416%2C&mh=GR&mm=31%2C26&mn=sn-3u-bh2ld%2Csn-oguesnde&ms=au%2Conr&mv=m&mvi=8&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4010000&bui=ATw7iSVerfMFUXCfhjBePqlfZFgLTjY95lYQOkTZCukhR4A9FsZPnSsUB6vIWv5NrlA1HElOjlgtIxoK&spc=hcYD5RkoTFWIgbsoGpSWfG1D83Jnk06NRQWwNScaX2rq7T0PDcXieODpRlM9MJLURg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=cM92bVTvhEjNdjs7pC51XFQQ&rqh=1&gir=yes&clen=3899245&ratebypass=yes&dur=52.522&lmt=1752667135122629&mt=1757234034&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=8NkcVkK3PNgJyQ&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhAJST1E-ulVS59g75xeGXowlcA0dcImrU241c23DsfiZGAiBda5jdQd_0CA1ZPEAHQt-PTa_DuLPFcq9A7U_7-5cFcQ%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAPHXUUtaOfl2X3_-60MTUMKANYOd_oXwk-i-vAKBVmfiAiEAp-IsbxzKQy1R618j3Tfi0DDDz9hBeYUU4FUXycZYwYc%3D,,12K,168,@wavemusicacademy
기막힌 기타연주~~파이프라인,https://www.youtube.com/shorts/yfeFzKZwtwk,https://rr4---sn-3u-bh2zr.googlevideo.com/videoplayback?expire=1757256018&ei=8kS9aPeDHaGU1d8PvrXTsAk&ip=220.72.66.139&id=o-AOQbGPMDiMOzT2pei1VSV3Bz0sqRZeGAHqYleyiRqaqt&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757234418%2C&mh=4A&mm=31%2C26&mn=sn-3u-bh2zr%2Csn-oguesndz&ms=au%2Conr&mv=m&mvi=4&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4066250&bui=ATw7iSW4g584pTCINCYCn6NXEXaH-WMECsbv_cZpKayAJgqGvX8usTDwbwpYwo_51XKUzSjVsriM8bd6&spc=hcYD5QybtQVyC74bqGJ-1VPtWO4ynd0PohIg6Ukga7asi_WGgwYxqfRddzb2E2WFQw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=05vy128_ffwvXhFfEbUT034Q&rqh=1&cnr=14&ratebypass=yes&dur=35.805&lmt=1740841867414990&mt=1757234034&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=xvbDIg-0bzbHeg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgb3vsGUf5DTXXFbjlqwDbPb049nyb-Di2jgND-_6iWBwCIQDTAKlmlqk0153nLNJKrK0JvtjFfkGHClspYvineo64mQ%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgINldwU9d6J5rB4IIIm2aKH6ntk3zmwiRHQkMGrtb1C8CIB8nTsEQk0r3kQPkUlXVOgxzZ3v458hKCVU8xe8v2a-D,,16K,88,@tv3921
