TITLE,OG URL,MP4 URL,MUSIC,#LIKE,#COMMENT,ID
우와 송파에 초대형 워터파크가 다 있네요!! #서울여행 #서울가볼만한곳,https://www.youtube.com/shorts/dwCge7ShP5w,https://rr3---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1757257528&ei=2Eq9aNyHAqPL29gP25K2SA&ip=220.72.66.139&id=o-AF-UdaBua3uFrCHH1O0l4Kj-ahT70lKCTXiRuHLnLdD-&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235928%2C&mh=T3&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguesnd6&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&pcm2=yes&gcr=kr&initcwndbps=4251250&bui=AY1jyLOKglQhZANNrVAnz_KP3iUvAmM7i1AexjAd37e2xognZNc-ljLqJqXTjVsvl9loifjJsCExDxBf&spc=l3OVKbkWew-KiUICyakp6lYQF13VCOIGxpAiDmi1HZOb_QcjzdKfmidkpiHGkV9PnA&vprv=1&svpuc=1&xtags=heaudio%3Dtrue&mime=video%2Fmp4&ns=BzjdQpapSmU8LyyxyAZmNjkQ&rqh=1&cnr=14&ratebypass=yes&dur=49.597&lmt=1742581040234277&mt=1757235703&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=by0LrEuPAvfyiw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cgcr%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cxtags%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRAIgNc1vbCOylj4j3h3JxaZt4cE5A1xzVngwjRodUZGo68gCIEF4ypTjEO3oo70jL8iITlU76Ip3xm6HmdJUd4rsGXBQ&sig=AJfQdSswRQIgBIAst-qoyj6-96wJlDkRX8X6UJnDGz_cEfRd3sngTPQCIQC0boMzkStJo0zvziTZXIjXbGs2RxeCcvcq1WnfxdXYEQ%3D%3D,#서울여행,19K,783,@seoultravelTV
한국에 오는 일본인들 서울 코스 근황 최신편.ver,https://www.youtube.com/shorts/k8akaprOMWM,https://rr5---sn-3u-bh2lr.googlevideo.com/videoplayback?expire=1757257528&ei=2Eq9aLuKDc2M29gPlYfamAY&ip=220.72.66.139&id=o-ADJhUgH4c1dxI_kxDDdjsiTUSfbLuKIjkHB8tUsaLvFA&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235928%2C&mh=OG&mm=31%2C26&mn=sn-3u-bh2lr%2Csn-oguesndz&ms=au%2Conr&mv=m&mvi=5&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4102500&bui=AY1jyLPvjFKVOpwFWsNE73OLwIYzxgelm8MkIHGBPLZlEcwBrzVvxqI2RVjSd0UhUflu6GOqBEfYj_bC&spc=l3OVKSLjcoEYs-iiIZfVbokcwrz3mgFTB4CSh_RjykKNr5CNMWbFwbkXQxqe7T8fCQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=NJiic0FdcqxlutfZL_swM4YQ&rqh=1&gir=yes&clen=3842616&ratebypass=yes&dur=59.925&lmt=1748325673066490&mt=1757235246&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=NVHYYJydquynXw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAMmYUizZMge48d8W2Gu0pVdnY4tNcIahhfMCI7IdMETsAiA0dqC-Hh1kBJk1QobsDOTfBbD6gGtpDRzizIT7n27sSQ%3D%3D&sig=AJfQdSswRQIhAN1K0dDNPRIREHBfXW2wdCihiXg9HO9IVQWAOeVWAhgjAiAW4lduG93wWWDKrujRBEZV35UNCHf4IiKv3qi81Qh-GA%3D%3D,Wagging Tails · Astra Quinn,20K,490,@humorshowshow
월세 50에 살 수 있는 서울 3평 원룸 #shorts #전국내방자랑,https://www.youtube.com/shorts/VIwrebaZ7SA,https://rr2---sn-3u-bh2sl.googlevideo.com/videoplayback?expire=1757257528&ei=2Eq9aK_qC_6Z29gPl7_FoAY&ip=220.72.66.139&id=o-AC_8pRGVFD2RDKxMBXSxwuI7KzI82EloO3TYh0VJd2mY&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235928%2C&mh=Zy&mm=31%2C26&mn=sn-3u-bh2sl%2Csn-ogul7nez&ms=au%2Conr&mv=m&mvi=2&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4070000&bui=AY1jyLOxxgu2g0Z-V6Q48ye3aQY4MsxhbIrTjohTHmS7g9lnqGFvRdlW38e-byZKMVA7ajSVNThXbwyd&spc=l3OVKSyitLzgTH1ePtihlAEkB3REyjakoULH6QNtrbIpKPiinS8Rbuo4z1a1mpBdIQ&vprv=1&svpuc=1&mime=video%2Fmp4&ns=iB7CfTrK72eKp827aU7wDUYQ&rqh=1&cnr=14&ratebypass=yes&dur=59.744&lmt=1755653880757121&mt=1757235703&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=WdVXfqronbc4hA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhANnuvZFKHZ9-LD_CQkQj4rDBrYGCg32bJDf3tPnYBA7yAiEAvoDMDJxNuvZMxkRbnt4pJyl38DdrHJdaOAk-NqV8uzU%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIgaLAL_fEIiWJLXs2238ENMcX37fOiAA8gFdHLpj-0E24CIQDzKdnDewTHkdKPrf6MlG58NfnjDDT7wG0PqTihyXeBBw%3D%3D,#shorts,7K,65,@OhouseKR
서울시 이름 '우남시' 될 뻔한 썰,https://www.youtube.com/shorts/xaxVxNdPtnw,https://rr3---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1757257529&ei=2Uq9aNPrO4-J29gP3Ly0WA&ip=220.72.66.139&id=o-ALpBqqii20c6pso1wj4QsZhZYEOzHcKXJ-VjPFvTL-jH&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235929%2C&mh=lJ&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguelnsz&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4123750&bui=AY1jyLPmaJhkDQ4J-BLUJvl7ueDFZTrW6-aVM6oSQnJWwE5XLDV8ww2KPPMKBhx5Hn96Q6rq4xz1phLS&spc=l3OVKRC6kQsfSYoZOjEOUQsF6HbB-F3zHjKcRSASY2fAnJuFN2T_l0uA2MO6ZuwZgg&vprv=1&svpuc=1&mime=video%2Fmp4&ns=GZ2Oskscm0eWQhhZhgkLyFYQ&rqh=1&gir=yes&clen=5146681&ratebypass=yes&dur=77.056&lmt=1747378053014861&mt=1757235246&fvip=3&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=F4eOCvqlpX1GeA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIhANCmJt4RbeHQS1vRcys6dffd4jN5HZXGLN6-j3_GGesEAiB7m06Tyi4WdE7cE5Nz-qtRFWmr9vwu-ehQOGUwgZYOJA%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhAOesWqSo5TKCC8CNXvFZCzPwUg6o6kW52_6KbiUk34J_AiEAp3KatWsOCqLP1RsQ_hYEhxisT8SP79LiptloFiSm3tI%3D,,5K,810,@studio_pirates
한 유튜버가 정말 무서웠다는 서울숲 풍경,https://www.youtube.com/shorts/OabbYwh02IM,https://rr3---sn-3u-bh2s6.googlevideo.com/videoplayback?expire=1757257530&ei=2kq9aKW4O4-Y29gPgZudmQE&ip=220.72.66.139&id=o-ANwjypCE5y40yR4XT4por_ekaoZmq0PpWLY-tqjRtfYA&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235930%2C&mh=6L&mm=31%2C26&mn=sn-3u-bh2s6%2Csn-oguesndr&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&pcm2=no&initcwndbps=4332500&bui=AY1jyLMUdbpiLZLXsTQuu03L-J55KaBm8UyGMTmOcjxqlZ8u4QEbiU7kC3_TMi3FFiLaxZM0ynXqTMwf&spc=l3OVKbphfgU53wWkQkiMgJRwe1Nwv3-Y-xSZpCIjMFTrnoGGD8EypIrxIw-Dmvzd-A&vprv=1&svpuc=1&mime=video%2Fmp4&ns=dIwAsEdKR5S1V5Ummmun19IQ&rqh=1&gir=yes&clen=1755391&ratebypass=yes&dur=23.701&lmt=1753318661236685&mt=1757235246&fvip=2&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=mgd3TWzQNd2Yrw&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cpcm2%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhANAigT7eFjYlIsHCsAFWYh6yUfimIG3FpfJCktnc3YeMAiEA_EgFJliJJhJX0zG-T1ODGLtmjGQnHAKA2ihlPEtmc4A%3D&sig=AJfQdSswRQIgWDPd8v1ujWASUJ5A6UJaQeXcK0AElYDXqoQShbBIFv8CIQDB1SJKQQCIYlX1zUYMhXTVt_MwTXndgO7lQxduYn4xkg%3D%3D,,6K,68,@Dirr502
서울 오징어게임3 퍼레이드 - Squid Game 3 Parade in Seoul,https://www.youtube.com/shorts/wiD8ZABKRHQ,https://rr6---sn-3u-bh2zr.googlevideo.com/videoplayback?expire=1757257537&ei=4Uq9aKHhCZ3Z29gPuoOb2AM&ip=220.72.66.139&id=o-AHLOwqb8lyfD7K79kabufTQnTzh8_06u5RYzNldydCK8&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235937%2C&mh=lJ&mm=31%2C26&mn=sn-3u-bh2zr%2Csn-oguelnzy&ms=au%2Conr&mv=m&mvi=6&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3951250&bui=AY1jyLNb7GIKfFh6XHjiJ2wTsFK7n-m8-xzhfwyQn_tdjfy33TMgFIY6D3iHZ4q-Px3Qf56mPaB0tD2u&spc=l3OVKcx7-XSSkDi_AM_tm838RvuTsibDnm9Q42NRAKNThpurpbeyl5hIOVj0dZsc8w&vprv=1&svpuc=1&mime=video%2Fmp4&ns=6b9lIs8K1Zx62NJE94I5sR4Q&rqh=1&gir=yes&clen=848076&ratebypass=yes&dur=11.392&lmt=1751130974688271&mt=1757235246&fvip=5&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=BxVpCYpEmlnSZA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAPfVoIRsQlPrTjKc9H1ii7VxCv2cle-3Ies_Xe08BXMdAiASOVr_pqF2pa2aOh3ToWdotgzBF9yzCo9aQUwgHp5YpA%3D%3D&sig=AJfQdSswRgIhAP9UjVL74Wm8a47C5gNjoQq0gLv8mzoJkoBBd78pNPLRAiEArkRZqevPOJ9Z60a4K59EPwvvwprlGKOTrNMHSHbtORE%3D,Way Back then · jung jaeil,4K,755,@푸드파이FOODPIE
Seoul is the world's most dangerous city? The Korean War defense system legend that even surprise...,https://www.youtube.com/shorts/P1IJtBzLw9Y,https://rr3---sn-3u-bh2sy.googlevideo.com/videoplayback?expire=1757257538&ei=4kq9aNHsFLrY29gPh8PpkQE&ip=220.72.66.139&id=o-AH4X8JDmKb1hiuyfM9bpGBrmZuc6H4G1LXhotjE8YSH3&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235938%2C&mh=LY&mm=31%2C26&mn=sn-3u-bh2sy%2Csn-oguelnlz&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4073750&bui=AY1jyLNHTJKpsWDG1topgnw0L0P4EXEI3Ih0_LW5zf8gldRPSdUmQ8c83nEM5Ov1eteGGXybA0AXxs3n&spc=l3OVKVrtvtMC232j6hdl_vhtG1jLR70qfGput1c5psPBAIn71mauaFDJixlqEc2T6g&vprv=1&svpuc=1&mime=video%2Fmp4&ns=EKyZ-ulhoDWUynCiW70sliMQ&rqh=1&gir=yes&clen=4327860&ratebypass=yes&dur=57.237&lmt=1756806774596305&mt=1757235246&fvip=4&lmw=1&fexp=51557447%2C51565116%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5400234&n=E4Q303sX8ocl7Q&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRgIhALi3hlKDtr--IPgbw0hSvPxvzV2Wm1cNK4PAf-3mqihWAiEAyGYHd9kx-oRSrZ021B9wEsITuLhQ8qoNkHUeH6q7w9I%3D&sig=AJfQdSswRQIgQe3O2s96qcn4lHzD5nxMdf37a1YppuRlmSHMzXViDzoCIQCZ96Kf9_C7JdfcTjAA5no0rNN8SN7fpYHZcRLHBl0lSg%3D%3D,Courageous Journey · Creable Music,2K,618,@공감썰1
Emergency in Seoul’s crowded subway!!! #지하철 #short #서울,https://www.youtube.com/shorts/hTkX-pLnu80,https://rr3---sn-3u-bh2sd.googlevideo.com/videoplayback?expire=1757257542&ei=5kq9aKiaJvXX29gPupG1uQE&ip=220.72.66.139&id=o-AEokBAc3COPw0Ijg4bAtXKdYYvZeHRkHfAGCNz2iC2Pn&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235942%2C&mh=Sv&mm=31%2C26&mn=sn-3u-bh2sd%2Csn-oguelnsk&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=3506250&bui=AY1jyLPJTHHzYHBJAfwKduayenpmp1JLn2QVUSnhz3Kepf_25sxLIU5sWq8aE_Tfkvelzm_DcXhZP415&spc=l3OVKarlyqo8cV4tlRkBkj0Q1YGHPDrXihvj1pNCTo4Xwio8NpWwkIh_4RartI8dFw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=UV_DMQpgY5GZw8X3nC0Jy_AQ&rqh=1&gir=yes&clen=752679&ratebypass=yes&dur=10.090&lmt=1754524985722949&mt=1757235246&fvip=1&lmw=1&fexp=51557447%2C51565115%2C51565681%2C51580970&c=TVHTML5&sefc=1&txp=4430534&n=jyEYJKhpWF_GKg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRgIhALDTeCD5GRMnOMoPmtBNoFh6xdwqAmcd-zd-eBtPms8vAiEAtGPJ-FoslSlmvc8-KCORWAxPk1WtZ0lGimeWrP-_S3A%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhANAEagfeb3mDxHXP1AQ5OcEbbl0He0FOA4omzRsL4lFpAiBPLngpV3-ZezMiP5Q-LRgAaTi_GY9xmYw8r6PV8lI6Zg%3D%3D,#지하철,13K,760,@8sports-h5y
집값 안떨어지면 서울 망할겁니다,https://www.youtube.com/shorts/wi-O72I3__A,https://rr3---sn-3u-bh2s6.googlevideo.com/videoplayback?expire=1757257538&ei=4kq9aMumHYeG29gP5bLMQQ&ip=220.72.66.139&id=o-AD8707M1k6xTd6gjUvNgW1sI16W4b7nZS0-Lh3kuxUZa&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235938%2C&mh=Om&mm=31%2C26&mn=sn-3u-bh2s6%2Csn-oguesn6k&ms=au%2Conr&mv=m&mvi=3&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4332500&bui=AY1jyLMiPj1bbMHHyNHtolTFZYBNdlv1XK_T9qDj7TUsxJA6DNjWPQe2wQEnDYUonn06BFoXXJLDx0qo&spc=l3OVKYIqNZHmfKD1KTocy_KjqoS-lw5fzjy37Ge0PUt-Zv4XIFBo-BulPNgXnkh58g&vprv=1&svpuc=1&mime=video%2Fmp4&ns=Fjg11fqFNfDLLrZXtMbGEiAQ&rqh=1&cnr=14&ratebypass=yes&dur=41.099&lmt=1751037423320564&mt=1757235246&fvip=3&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=4530534&n=du-2U-vvKHXoyg&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Ccnr%2Cratebypass%2Cdur%2Clmt&sig=AJfQdSswRQIgNwt6j-CoxVFnkMO26ODKQKIJw5eKgYo8mv5mAHxKneYCIQD46HGDXEQRtWIvrnfU-FYjBbD2KuTO8o3MR9ZlADmKPw%3D%3D&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhAJKm0rUcVABbJUmM0D_LCRsDLHKJhcFU91qMkf_BVzUyAiB9V52502-mWb7UNRVlslXC0AznmLzm_SwOQoRa0UbP5Q%3D%3D,,18K,862,@weolbu_official
"서울에서 1시간, 당일치기 데이트 코스💗 #강원도여행 #강원도당일치기 #철원가볼만한곳 #철원여행 #철원맛집 #서울근교드라이브 #서울근교데이트 #서울근교여행",https://www.youtube.com/shorts/bjdGO14PBlw,https://rr1---sn-3u-bh2zd.googlevideo.com/videoplayback?expire=1757257546&ei=6kq9aLWwAfiavcAPjtGvqQo&ip=220.72.66.139&id=o-AE9iE6l3tHyLdRLvfWIWGWVvkzP-FBRaB2aykAUbPfi5&itag=18&source=youtube&requiressl=yes&xpc=EgVo2aDSNQ%3D%3D&met=1757235946%2C&mh=qO&mm=31%2C26&mn=sn-3u-bh2zd%2Csn-oguelnsl&ms=au%2Conr&mv=m&mvi=1&pl=19&rms=au%2Cau&ctier=L&initcwndbps=4123750&bui=ATw7iSVAZhBGHzKgfl0-WEA27b4acpDPRtvTbUELuVbMyojf2LwKCvBlpQ3PFj44CiuRXzrYwTYnMgPM&spc=hcYD5XMFvf2A-FSBXdbsMuDyYLRuxrD-YR0ij7lqgA731IFemM032HNK8VUBRifAVw&vprv=1&svpuc=1&mime=video%2Fmp4&ns=vsYxcCim55maHyfsRImi1woQ&rqh=1&gir=yes&clen=1697201&ratebypass=yes&dur=22.592&lmt=1756882708089976&mt=1757235246&fvip=4&lmw=1&fexp=51557447%2C51565115%2C51565682%2C51580970&c=TVHTML5&sefc=1&txp=5430534&n=PQsRjVF36bZmpA&sparams=expire%2Cei%2Cip%2Cid%2Citag%2Csource%2Crequiressl%2Cxpc%2Cctier%2Cbui%2Cspc%2Cvprv%2Csvpuc%2Cmime%2Cns%2Crqh%2Cgir%2Cclen%2Cratebypass%2Cdur%2Clmt&lsparams=met%2Cmh%2Cmm%2Cmn%2Cms%2Cmv%2Cmvi%2Cpl%2Crms%2Cinitcwndbps&lsig=APaTxxMwRQIhALPTM6kDQPS8UgJoIoWdY1reqDqIOrTh47OvzPw-H7IEAiBf-uJIuX76wGYCAYXxAT5mkdui9qnj_CAgMJINe1pENg%3D%3D&sig=AJfQdSswRQIgOG3Ao7XjzOSSlMmUaBjcyJcOtsJ0t1lVsSV8v2Dd54gCIQCEekFZCJOB1-t5K3YsdsSVhzrhrE_Et7MgPxS1ZFZYMw%3D%3D,#강원도여행,19K,653,@yyo_oni
